"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 26 09:25:20 GMT 2021","Fri Nov 26 09:25:38 GMT 2021","18500","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom without data to a user account when called by the owner","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom without data to a user account when called by the owner","adjusts owners balances","adjusts owners balances",""
"passed","Fri Nov 26 09:02:49 GMT 2021","Fri Nov 26 09:03:11 GMT 2021","21451","","Contract: ERC1155 like an ERC1155 safeBatchTransferFrom when called by an operator on behalf of the multiTokenHolder when operator is approved by multiTokenHolder","","Contract: ERC1155 like an ERC1155 safeBatchTransferFrom when called by an operator on behalf of the multiTokenHolder when operator is approved by multiTokenHolder","debits transferred balances from sender","debits transferred balances from sender",""
"failed","Fri Nov 26 07:49:51 GMT 2021","Fri Nov 26 07:49:53 GMT 2021","1778","","Contract: PaymentSplitter","","Contract: PaymentSplitter","rejects repeated payees","rejects repeated payees",""
"passed","Fri Nov 26 09:09:43 GMT 2021","Fri Nov 26 09:09:59 GMT 2021","15192","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a user account when the sender is not authorized for the token id","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a user account when the sender is not authorized for the token id","reverts","reverts",""
"passed","Fri Nov 26 08:33:43 GMT 2021","Fri Nov 26 08:33:50 GMT 2021","7715","","Contract: TransparentUpgradeableProxy upgradeTo when the sender is the admin when the given implementation is the zero address","","Contract: TransparentUpgradeableProxy upgradeTo when the sender is the admin when the given implementation is the zero address","reverts","reverts",""
"failed","Fri Nov 26 08:31:16 GMT 2021","Fri Nov 26 08:31:24 GMT 2021","8301","","Contract: Clones cloneDeterministic initialization without parameters non payable when sending some balance","","Contract: Clones cloneDeterministic initialization without parameters non payable when sending some balance","reverts","reverts",""
"broken","Fri Nov 26 07:50:21 GMT 2021","Fri Nov 26 07:50:35 GMT 2021","13707","","Contract: PaymentSplitter once deployed accepts payments","","Contract: PaymentSplitter once deployed accepts payments","Ether","Ether",""
"skipped","Fri Nov 26 08:44:56 GMT 2021","Fri Nov 26 08:44:56 GMT 2021","1","","Contract: ERC20VotesComp","","Contract: ERC20VotesComp","minting restriction","minting restriction",""
"passed","Fri Nov 26 10:09:49 GMT 2021","Fri Nov 26 10:09:54 GMT 2021","4605","","Contract: SafeMath memory leakage","","Contract: SafeMath memory leakage","div","div",""
"passed","Fri Nov 26 10:07:56 GMT 2021","Fri Nov 26 10:08:03 GMT 2021","7527","","Contract: Arrays findUpperBound Even number of elements","","Contract: Arrays findUpperBound Even number of elements","returns correct index for the basic case","returns correct index for the basic case",""
"passed","Fri Nov 26 08:29:14 GMT 2021","Fri Nov 26 08:29:25 GMT 2021","10284","","Contract: ProxyAdmin #changeProxyAdmin","","Contract: ProxyAdmin #changeProxyAdmin","fails to change proxy admin if its not the proxy owner","fails to change proxy admin if its not the proxy owner",""
"skipped","Fri Nov 26 07:53:39 GMT 2021","Fri Nov 26 07:53:39 GMT 2021","0","","Contract: TimelockController","","Contract: TimelockController","initial state","initial state",""
"broken","Fri Nov 26 08:11:37 GMT 2021","Fri Nov 26 08:12:23 GMT 2021","45748","","Contract: Governor scenario Invalid vote type","","Contract: Governor scenario Invalid vote type","run","run",""
"passed","Fri Nov 26 10:06:59 GMT 2021","Fri Nov 26 10:07:03 GMT 2021","4143","","Contract: Math ceilDiv","","Contract: Math ceilDiv","correctly computes max uint256 divided by 1","correctly computes max uint256 divided by 1",""
"passed","Fri Nov 26 10:09:36 GMT 2021","Fri Nov 26 10:09:48 GMT 2021","11807","","Contract: Address functionStaticCall","","Contract: Address functionStaticCall","calls the requested function","calls the requested function",""
"passed","Fri Nov 26 10:06:15 GMT 2021","Fri Nov 26 10:06:19 GMT 2021","4605","","Contract: Math max","","Contract: Math max","is correctly detected in second argument position","is correctly detected in second argument position",""
"passed","Fri Nov 26 08:29:46 GMT 2021","Fri Nov 26 08:29:57 GMT 2021","10703","","Contract: ProxyAdmin #getProxyImplementation","","Contract: ProxyAdmin #getProxyImplementation","call to invalid proxy","call to invalid proxy",""
"passed","Fri Nov 26 09:07:53 GMT 2021","Fri Nov 26 09:08:11 GMT 2021","17968","","Contract: ERC1155 like an ERC1155 safeBatchTransferFrom to a receiver contract returning unexpected value","","Contract: ERC1155 like an ERC1155 safeBatchTransferFrom to a receiver contract returning unexpected value","reverts","reverts",""
"skipped","Fri Nov 26 09:57:58 GMT 2021","Fri Nov 26 09:58:05 GMT 2021","7092","","Contract: ERC721 metadata token URI base URI","","Contract: ERC721 metadata token URI base URI","base URI can be set","base URI can be set",""
"passed","Fri Nov 26 09:04:06 GMT 2021","Fri Nov 26 09:04:24 GMT 2021","18799","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a user account when called by the operator","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a user account when called by the operator","transfers the ownership of the given token ID to the given address","transfers the ownership of the given token ID to the given address",""
"passed","Fri Nov 26 07:58:47 GMT 2021","Fri Nov 26 07:59:14 GMT 2021","27063","","Contract: Governor Contract interface Governor proposalDeadline(uint256)","","Contract: Governor Contract interface Governor proposalDeadline(uint256)","has to be implemented","has to be implemented",""
"passed","Fri Nov 26 08:48:15 GMT 2021","Fri Nov 26 08:48:25 GMT 2021","10249","","Contract: ERC721URIStorage token URI","","Contract: ERC721URIStorage token URI","tokenId is appended to base URI for tokens with no URI","tokenId is appended to base URI for tokens with no URI",""
"passed","Fri Nov 26 08:44:26 GMT 2021","Fri Nov 26 08:44:34 GMT 2021","7717","","Contract: ERC20Capped once deployed capped token","","Contract: ERC20Capped once deployed capped token","mints when amount is less than cap","mints when amount is less than cap",""
"passed","Fri Nov 26 10:09:07 GMT 2021","Fri Nov 26 10:09:11 GMT 2021","4627","","Contract: SafeMath with custom revert message div","","Contract: SafeMath with custom revert message div","reverts on division by zero","reverts on division by zero",""
"skipped","Fri Nov 26 08:31:36 GMT 2021","Fri Nov 26 08:31:36 GMT 2021","0","","Contract: TransparentUpgradeableProxy initialization with parameters payable when not sending balance","","Contract: TransparentUpgradeableProxy initialization with parameters payable when not sending balance","sets the implementation address","sets the implementation address",""
"passed","Fri Nov 26 08:58:27 GMT 2021","Fri Nov 26 08:58:41 GMT 2021","14313","","Contract: ERC721Enumerable with minted tokens transfers via transferFrom when the sender is not authorized for the token id","","Contract: ERC721Enumerable with minted tokens transfers via transferFrom when the sender is not authorized for the token id","reverts","reverts",""
