"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","77","0","0","0","0"
"Connection problem","2","0","0","0","0"
"Test defects","0","66","0","0","0"
"neon-cli error","0","11","0","0","0"
"Not supported","0","6","0","0","0"
