"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","9","0","0","0","0"
"Test defects","0","86","0","0","0"
"Not supported","0","5","0","0","0"
"neon-cli error","0","1","0","0","0"
