"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 13 10:39:28 GMT 2021","Mon Dec 13 10:40:15 GMT 2021","46500","","Contract: UpgradeableBeacon once deployed","","Contract: UpgradeableBeacon once deployed","cannot be upgraded by other account","cannot be upgraded by other account",""
"passed","Mon Dec 13 11:15:09 GMT 2021","Mon Dec 13 11:15:34 GMT 2021","25252","","Contract: RefundEscrow once deployed","","Contract: RefundEscrow once deployed","only the owner can enter closed state","only the owner can enter closed state",""
"passed","Mon Dec 13 10:47:45 GMT 2021","Mon Dec 13 10:47:52 GMT 2021","7934","","Contract: TransparentUpgradeableProxy changeAdmin when the new proposed admin is not the zero address when the sender is the admin","","Contract: TransparentUpgradeableProxy changeAdmin when the new proposed admin is not the zero address when the sender is the admin","assigns new proxy admin","assigns new proxy admin",""
"failed","Mon Dec 13 09:55:01 GMT 2021","Mon Dec 13 09:55:25 GMT 2021","24689","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"passed","Mon Dec 13 09:53:11 GMT 2021","Mon Dec 13 09:53:13 GMT 2021","2053","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"broken","Mon Dec 13 10:21:56 GMT 2021","Mon Dec 13 10:22:33 GMT 2021","36827","","Contract: Governor scenario Invalid vote type","","Contract: Governor scenario Invalid vote type","run","run",""
"broken","Mon Dec 13 10:32:46 GMT 2021","Mon Dec 13 10:33:27 GMT 2021","40996","","Contract: Governor Settings update setVotingPeriod to 0","","Contract: Governor Settings update setVotingPeriod to 0","run","run",""
"passed","Mon Dec 13 10:45:29 GMT 2021","Mon Dec 13 10:45:42 GMT 2021","13637","","Contract: TransparentUpgradeableProxy upgradeToAndCall with migrations when the sender is the admin when upgrading to V1","","Contract: TransparentUpgradeableProxy upgradeToAndCall with migrations when the sender is the admin when upgrading to V1","upgrades to the requested version and emits an event","upgrades to the requested version and emits an event",""
"passed","Mon Dec 13 10:39:59 GMT 2021","Mon Dec 13 10:40:22 GMT 2021","23006","","Contract: TransparentUpgradeableProxy initialization without parameters non payable when not sending balance","","Contract: TransparentUpgradeableProxy initialization without parameters non payable when not sending balance","initializes the proxy","initializes the proxy",""
"passed","Mon Dec 13 10:01:41 GMT 2021","Mon Dec 13 10:02:14 GMT 2021","32774","","Contract: PaymentSplitter once deployed release Token","","Contract: PaymentSplitter once deployed release Token","reverts if non-payee want to claim","reverts if non-payee want to claim",""
"passed","Mon Dec 13 09:51:04 GMT 2021","Mon Dec 13 09:51:08 GMT 2021","4194","","Contract: AccessControl Contract interface AccessControl getRoleAdmin(bytes32)","","Contract: AccessControl Contract interface AccessControl getRoleAdmin(bytes32)","has to be implemented","has to be implemented",""
"passed","Mon Dec 13 10:35:40 GMT 2021","Mon Dec 13 10:35:55 GMT 2021","15315","","Contract: ERC2771Context when receiving a relayed call msgSender","","Contract: ERC2771Context when receiving a relayed call msgSender","returns the relayed transaction original sender","returns the relayed transaction original sender",""
"skipped","Mon Dec 13 10:03:28 GMT 2021","Mon Dec 13 10:03:28 GMT 2021","0","","Contract: TimelockController methods batch schedule","","Contract: TimelockController methods batch schedule","prevent non-proposer from commiting","prevent non-proposer from commiting",""
"skipped","Mon Dec 13 10:03:28 GMT 2021","Mon Dec 13 10:03:28 GMT 2021","0","","Contract: TimelockController usage scenario","","Contract: TimelockController usage scenario","call","call",""
"broken","Mon Dec 13 11:13:38 GMT 2021","Mon Dec 13 11:15:26 GMT 2021","107575","","Contract: Counters","","Contract: Counters","starts at zero","starts at zero",""
"passed","Mon Dec 13 10:51:35 GMT 2021","Mon Dec 13 10:51:42 GMT 2021","7641","","Contract: ReentrancyGuard","","Contract: ReentrancyGuard","does not allow local recursion","does not allow local recursion",""
"passed","Mon Dec 13 09:50:59 GMT 2021","Mon Dec 13 09:51:04 GMT 2021","4099","","Contract: AccessControl Contract interface AccessControl hasRole(bytes32,address)","","Contract: AccessControl Contract interface AccessControl hasRole(bytes32,address)","has to be implemented","has to be implemented",""
"passed","Mon Dec 13 10:00:34 GMT 2021","Mon Dec 13 10:00:46 GMT 2021","12276","","Contract: PaymentSplitter once deployed accepts payments","","Contract: PaymentSplitter once deployed accepts payments","Token","Token",""
"broken","Mon Dec 13 10:21:14 GMT 2021","Mon Dec 13 10:21:56 GMT 2021","42394","","Contract: Governor scenario duplicate executed proposal","","Contract: Governor scenario duplicate executed proposal","run","run",""
"skipped","Mon Dec 13 10:03:28 GMT 2021","Mon Dec 13 10:03:28 GMT 2021","0","","Contract: TimelockController maintenance","","Contract: TimelockController maintenance","prevent unauthorized maintenance","prevent unauthorized maintenance",""
"broken","Mon Dec 13 10:36:55 GMT 2021","Mon Dec 13 10:38:51 GMT 2021","115960","","Contract: UpgradeableBeacon once deployed","","Contract: UpgradeableBeacon once deployed","can be upgraded by the owner","can be upgraded by the owner",""
"broken","Mon Dec 13 10:22:33 GMT 2021","Mon Dec 13 10:23:13 GMT 2021","39630","","Contract: Governor scenario double cast","","Contract: Governor scenario double cast","run","run",""
"failed","Mon Dec 13 09:54:41 GMT 2021","Mon Dec 13 09:54:43 GMT 2021","2095","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"broken","Mon Dec 13 09:51:09 GMT 2021","Mon Dec 13 09:51:10 GMT 2021","499","Ethers.js","","","","","testSigningMessages",""
"passed","Mon Dec 13 09:58:31 GMT 2021","Mon Dec 13 09:58:37 GMT 2021","5440","","Contract: AccessControl Contract interface AccessControlEnumerable ERC165's supportsInterface(bytes4)","","Contract: AccessControl Contract interface AccessControlEnumerable ERC165's supportsInterface(bytes4)","uses less than 30k gas [skip-on-coverage]","uses less than 30k gas [skip-on-coverage]",""
"failed","Mon Dec 13 09:59:53 GMT 2021","Mon Dec 13 09:59:56 GMT 2021","2652","","Contract: PaymentSplitter","","Contract: PaymentSplitter","rejects null payees","rejects null payees",""
"passed","Mon Dec 13 09:51:31 GMT 2021","Mon Dec 13 09:51:37 GMT 2021","5439","","Contract: AccessControl default admin","","Contract: AccessControl default admin","default admin role's admin is itself","default admin role's admin is itself",""
"passed","Mon Dec 13 09:53:28 GMT 2021","Mon Dec 13 09:53:31 GMT 2021","2551","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"broken","Mon Dec 13 11:06:53 GMT 2021","Mon Dec 13 11:08:33 GMT 2021","100041","","Contract: SignedSafeMath add","","Contract: SignedSafeMath add","adds correctly if it does not overflow and the result is positive","adds correctly if it does not overflow and the result is positive",""
