"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","22","0","0","0","0"
"Connection problem","2","1","0","0","0"
"Test defects","0","80","0","0","0"
"Not supported","0","6","0","0","0"
