"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 13 10:25:26 GMT 2021","Mon Dec 13 10:26:10 GMT 2021","44838","tests.truffle","test_truffle","","","","test_truffle_contract",""
"passed","Mon Dec 13 11:27:29 GMT 2021","Mon Dec 13 11:27:33 GMT 2021","4368","","Contract: SafeMath with custom revert message div","","Contract: SafeMath with custom revert message div","divides zero correctly","divides zero correctly",""
"passed","Mon Dec 13 11:20:50 GMT 2021","Mon Dec 13 11:21:03 GMT 2021","13134","","Contract: Strings from uint256 - hex format","","Contract: Strings from uint256 - hex format","converts MAX_UINT256","converts MAX_UINT256",""
"passed","Mon Dec 13 11:21:03 GMT 2021","Mon Dec 13 11:22:52 GMT 2021","108536","","Contract: Strings from uint256 - fixed hex format","","Contract: Strings from uint256 - fixed hex format","converts a positive number (long)","converts a positive number (long)",""
"passed","Mon Dec 13 11:32:04 GMT 2021","Mon Dec 13 11:32:08 GMT 2021","4263","","Contract: SafeCast toInt256","","Contract: SafeCast toInt256","reverts when casting INT256_MAX + 1 (57896044618658097711785492504343953926634992332820282019728792003956564819968)","reverts when casting INT256_MAX + 1 (57896044618658097711785492504343953926634992332820282019728792003956564819968)",""
"failed","Mon Dec 13 10:40:34 GMT 2021","Mon Dec 13 10:40:42 GMT 2021","7905","","Contract: Clones clone initialization with parameters non payable when sending some balance","","Contract: Clones clone initialization with parameters non payable when sending some balance","reverts","reverts",""
"broken","Mon Dec 13 10:19:16 GMT 2021","Mon Dec 13 10:19:17 GMT 2021","486","Ethers.js","","","","","testQueryHistoricEvents",""
"passed","Mon Dec 13 10:37:37 GMT 2021","Mon Dec 13 10:37:55 GMT 2021","18306","","Contract: UUPSUpgradeable","","Contract: UUPSUpgradeable","upgrade to upgradeable implementation with call","upgrade to upgradeable implementation with call",""
"passed","Mon Dec 13 11:26:16 GMT 2021","Mon Dec 13 11:27:37 GMT 2021","80655","","Contract: Counters reset non null counter","","Contract: Counters reset non null counter","reset to 0","reset to 0",""
"broken","Mon Dec 13 10:22:59 GMT 2021","Mon Dec 13 10:22:59 GMT 2021","214","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"passed","Mon Dec 13 11:09:59 GMT 2021","Mon Dec 13 11:10:03 GMT 2021","4243","","Contract: ERC1155PresetMinterPauser Contract interface AccessControl revokeRole(bytes32,address)","","Contract: ERC1155PresetMinterPauser Contract interface AccessControl revokeRole(bytes32,address)","has to be implemented","has to be implemented",""
"passed","Mon Dec 13 10:22:48 GMT 2021","Mon Dec 13 10:22:53 GMT 2021","5532","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"passed","Mon Dec 13 10:19:12 GMT 2021","Mon Dec 13 10:19:12 GMT 2021","1","Ethers.js","","","","","testSigner",""
"passed","Mon Dec 13 11:27:43 GMT 2021","Mon Dec 13 11:27:48 GMT 2021","4841","","Contract: SafeMath with custom revert message mod","","Contract: SafeMath with custom revert message mod","reverts with a 0 divisor","reverts with a 0 divisor",""
"failed","Mon Dec 13 10:37:46 GMT 2021","Mon Dec 13 10:37:50 GMT 2021","4452","","Contract: ERC1967Proxy initialization without parameters non payable when sending some balance","","Contract: ERC1967Proxy initialization without parameters non payable when sending some balance","reverts","reverts",""
"skipped","Mon Dec 13 11:00:06 GMT 2021","Mon Dec 13 11:00:06 GMT 2021","0","","Contract: ERC20VotesComp change delegation","","Contract: ERC20VotesComp change delegation","call","call",""
"passed","Mon Dec 13 11:04:42 GMT 2021","Mon Dec 13 11:04:50 GMT 2021","8208","","Contract: ERC1155PresetMinterPauser","","Contract: ERC1155PresetMinterPauser","minter and pauser role admin is the default admin","minter and pauser role admin is the default admin",""
"passed","Mon Dec 13 10:20:08 GMT 2021","Mon Dec 13 10:20:19 GMT 2021","11274","","Contract: PaymentSplitter once deployed","","Contract: PaymentSplitter once deployed","has total shares","has total shares",""
"failed","Mon Dec 13 10:44:11 GMT 2021","Mon Dec 13 10:44:19 GMT 2021","8744","","Contract: Clones cloneDeterministic initialization without parameters payable when sending some balance","","Contract: Clones cloneDeterministic initialization without parameters payable when sending some balance","has expected balance","has expected balance",""
"passed","Mon Dec 13 11:19:20 GMT 2021","Mon Dec 13 11:19:40 GMT 2021","19276","","Contract: ERC165Checker ERC165 missing return data","","Contract: ERC165Checker ERC165 missing return data","does not support mock interface via getSupportedInterfaces","does not support mock interface via getSupportedInterfaces",""
"broken","Mon Dec 13 11:12:19 GMT 2021","Mon Dec 13 11:14:25 GMT 2021","125326","","Contract: BitMap setTo","","Contract: BitMap setTo","set a key to true","set a key to true",""
"passed","Mon Dec 13 11:31:30 GMT 2021","Mon Dec 13 11:31:34 GMT 2021","4245","","Contract: SafeCast toInt128","","Contract: SafeCast toInt128","downcasts 2^127 - 1 (170141183460469231731687303715884105727)","downcasts 2^127 - 1 (170141183460469231731687303715884105727)",""
"passed","Mon Dec 13 11:19:09 GMT 2021","Mon Dec 13 11:19:18 GMT 2021","9436","","Contract: ERC165Storage Contract interface ERC165 supportsInterface(bytes4)","","Contract: ERC165Storage Contract interface ERC165 supportsInterface(bytes4)","has to be implemented","has to be implemented",""
