"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","75","0","0","0","0"
"Test defects","0","104","0","0","0"
"neon-cli error","0","13","0","0","0"
"Not supported","0","8","0","0","0"
