"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 24 12:22:24 GMT 2021","Wed Nov 24 12:22:25 GMT 2021","976","Ethers.js","","","","","shouldConnectViaEthersJs",""
"passed","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","3","tests.truffle","test_truffle","","","","test_truffle_migration",""
"passed","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","5","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"passed","Wed Nov 24 12:22:30 GMT 2021","Wed Nov 24 12:22:30 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"broken","Wed Nov 24 12:25:35 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","12631","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"skipped","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"passed","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","3","tests.truffle","test_truffle","","","","test_truffle_test",""
"broken","Wed Nov 24 12:22:35 GMT 2021","Wed Nov 24 12:22:36 GMT 2021","1045","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"broken","Wed Nov 24 12:22:27 GMT 2021","Wed Nov 24 12:22:28 GMT 2021","1458","Ethers.js","","","","","testWritingToTheBlockchain",""
"broken","Wed Nov 24 12:22:25 GMT 2021","Wed Nov 24 12:22:27 GMT 2021","1965","Ethers.js","","","","","testQueryingBlockchain",""
"passed","Wed Nov 24 12:24:13 GMT 2021","Wed Nov 24 12:24:13 GMT 2021","17","","org.neonlabs.compatibility.ConnectionTest","","org.neonlabs.compatibility.ConnectionTest","probe","probe()","allure description"
"broken","Wed Nov 24 12:22:29 GMT 2021","Wed Nov 24 12:22:30 GMT 2021","475","Ethers.js","","","","","testQueryHistoricEvents",""
"broken","Wed Nov 24 12:22:30 GMT 2021","Wed Nov 24 12:22:30 GMT 2021","480","Ethers.js","","","","","testSigningMessages",""
"passed","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","6","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"passed","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","5","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"broken","Wed Nov 24 12:22:21 GMT 2021","Wed Nov 24 12:22:22 GMT 2021","751","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"passed","Wed Nov 24 12:25:34 GMT 2021","Wed Nov 24 12:25:35 GMT 2021","1530","tests.brownie","test_brownie","","","","test_brownie_connect",""
"passed","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","4","tests.truffle","test_truffle","","","","test_truffle_contract",""
"passed","Wed Nov 24 12:24:12 GMT 2021","Wed Nov 24 12:24:13 GMT 2021","635","","org.neonlabs.compatibility.ConnectionTest","","org.neonlabs.compatibility.ConnectionTest","shouldConnectToNetwork","shouldConnectToNetwork()","Connection web3j"
"passed","Wed Nov 24 12:24:14 GMT 2021","Wed Nov 24 12:24:14 GMT 2021","4","","org.neonlabs.compatibility.ConnectionKtTest","","org.neonlabs.compatibility.ConnectionKtTest","shouldWork","shouldWork()","allure description"
"skipped","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Wed Nov 24 12:22:28 GMT 2021","Wed Nov 24 12:22:28 GMT 2021","5","Ethers.js","","","","","testContracts",""
"passed","Wed Nov 24 12:24:13 GMT 2021","Wed Nov 24 12:24:14 GMT 2021","519","","org.neonlabs.compatibility.ConnectionKtTest","","org.neonlabs.compatibility.ConnectionKtTest","shouldConnectToNetwork","shouldConnectToNetwork()","Connection"
"passed","Wed Nov 24 12:22:22 GMT 2021","Wed Nov 24 12:22:24 GMT 2021","1569","Ethers.js","","","","","shouldCountTransactions",""
"broken","Wed Nov 24 12:22:28 GMT 2021","Wed Nov 24 12:22:29 GMT 2021","964","Ethers.js","","","","","testReadOnlyMethods",""
"passed","Wed Nov 24 12:22:29 GMT 2021","Wed Nov 24 12:22:29 GMT 2021","4","Ethers.js","","","","","testStateChangingMethods",""
"passed","Wed Nov 24 12:25:48 GMT 2021","Wed Nov 24 12:25:48 GMT 2021","5","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"passed","Wed Nov 24 12:22:25 GMT 2021","Wed Nov 24 12:22:25 GMT 2021","1","Ethers.js","","","","","testSigner",""
"broken","Wed Nov 24 12:22:30 GMT 2021","Wed Nov 24 12:22:30 GMT 2021","5","ethjs","","","","","test01",""
