"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 17 01:48:02 GMT 2021","Fri Dec 17 01:48:09 GMT 2021","7513","","Contract: ERC20 decrease allowance when the spender is the zero address","","Contract: ERC20 decrease allowance when the spender is the zero address","reverts","reverts",""
"passed","Fri Dec 17 00:58:24 GMT 2021","Fri Dec 17 00:58:48 GMT 2021","24326","","Contract: Governor Contract interface Governor COUNTING_MODE()","","Contract: Governor Contract interface Governor COUNTING_MODE()","has to be implemented","has to be implemented",""
"skipped","Fri Dec 17 01:22:28 GMT 2021","Fri Dec 17 01:22:28 GMT 2021","0","","Contract: TransparentUpgradeableProxy without initialization when sending some balance","","Contract: TransparentUpgradeableProxy without initialization when sending some balance","sets the implementation address","sets the implementation address",""
"passed","Fri Dec 17 01:46:34 GMT 2021","Fri Dec 17 01:46:47 GMT 2021","13577","","Contract: ERC1155Holder Contract interface ERC1155Receiver onERC1155BatchReceived(address,address,uint256[],uint256[],bytes)","","Contract: ERC1155Holder Contract interface ERC1155Receiver onERC1155BatchReceived(address,address,uint256[],uint256[],bytes)","has to be implemented","has to be implemented",""
"passed","Fri Dec 17 01:42:16 GMT 2021","Fri Dec 17 01:42:26 GMT 2021","9309","","Contract: ERC20Permit permit","","Contract: ERC20Permit permit","rejects expired permit","rejects expired permit",""
"passed","Fri Dec 17 01:43:33 GMT 2021","Fri Dec 17 01:43:47 GMT 2021","13855","","Contract: ERC721Enumerable with minted tokens balanceOf when the given address owns some tokens","","Contract: ERC721Enumerable with minted tokens balanceOf when the given address owns some tokens","returns the amount of tokens owned by the given address","returns the amount of tokens owned by the given address",""
"passed","Fri Dec 17 03:21:08 GMT 2021","Fri Dec 17 03:21:22 GMT 2021","13486","","Contract: EnumerableSet EnumerableAddressSet remove","","Contract: EnumerableSet EnumerableAddressSet remove","returns false when removing values not in the set","returns false when removing values not in the set",""
"passed","Fri Dec 17 03:16:12 GMT 2021","Fri Dec 17 03:16:32 GMT 2021","19673","","Contract: Math min","","Contract: Math min","is correctly detected in first argument position","is correctly detected in first argument position",""
"failed","Fri Dec 17 01:25:20 GMT 2021","Fri Dec 17 01:25:27 GMT 2021","6861","","Contract: Clones cloneDeterministic initialization with parameters payable when sending some balance","","Contract: Clones cloneDeterministic initialization with parameters payable when sending some balance","has expected balance","has expected balance",""
"passed","Fri Dec 17 01:48:44 GMT 2021","Fri Dec 17 01:49:00 GMT 2021","15656","","Contract: ERC1155 like an ERC1155 safeTransferFrom when called by the multiTokenHolder","","Contract: ERC1155 like an ERC1155 safeTransferFrom when called by the multiTokenHolder","credits transferred balance to receiver","credits transferred balance to receiver",""
"passed","Fri Dec 17 02:48:51 GMT 2021","Fri Dec 17 02:49:17 GMT 2021","26112","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a valid receiver contract when sent to the owner","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a valid receiver contract when sent to the owner","keeps ownership of the token","keeps ownership of the token",""
"passed","Fri Dec 17 00:49:52 GMT 2021","Fri Dec 17 00:49:53 GMT 2021","589","Ethers.js","","","","","shouldConnectViaEthersJs",""
