"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","88","0","0","0","0"
"Connection problem","2","0","0","0","0"
"Test defects","0","46","0","0","0"
"neon-cli error","0","11","0","0","0"
"Not supported","0","7","0","0","0"
