"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 15 04:57:23 GMT 2021","Wed Dec 15 04:57:46 GMT 2021","23082","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a user account when called by the owner without an approved user","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a user account when called by the owner without an approved user","adjusts owners balances","adjusts owners balances",""
"passed","Wed Dec 15 03:53:17 GMT 2021","Wed Dec 15 03:53:26 GMT 2021","8740","","Contract: Initializable basic testing without inheritance after initialize","","Contract: Initializable basic testing without inheritance after initialize","initializer has run","initializer has run",""
"passed","Wed Dec 15 05:20:58 GMT 2021","Wed Dec 15 05:21:02 GMT 2021","4561","","Contract: ERC721 Contract interface ERC721Metadata ERC165's supportsInterface(bytes4)","","Contract: ERC721 Contract interface ERC721Metadata ERC165's supportsInterface(bytes4)","claims support [skip-on-coverage]","claims support [skip-on-coverage]",""
"passed","Wed Dec 15 04:42:59 GMT 2021","Wed Dec 15 04:43:17 GMT 2021","17997","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom with data to a valid receiver contract when called by the approved individual","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom with data to a valid receiver contract when called by the approved individual","emits an Approval event","emits an Approval event",""
"passed","Wed Dec 15 04:34:56 GMT 2021","Wed Dec 15 04:35:10 GMT 2021","13137","","Contract: ERC1155 like an ERC1155 safeBatchTransferFrom to a receiver contract returning unexpected value","","Contract: ERC1155 like an ERC1155 safeBatchTransferFrom to a receiver contract returning unexpected value","reverts","reverts",""
"passed","Wed Dec 15 04:23:20 GMT 2021","Wed Dec 15 04:23:24 GMT 2021","4252","","Contract: ERC721PresetMinterPauserAutoId Contract interface AccessControl revokeRole(bytes32,address)","","Contract: ERC721PresetMinterPauserAutoId Contract interface AccessControl revokeRole(bytes32,address)","has to be implemented","has to be implemented",""
"passed","Wed Dec 15 05:21:13 GMT 2021","Wed Dec 15 05:21:22 GMT 2021","9043","","Contract: ERC721Enumerable metadata token URI base URI","","Contract: ERC721Enumerable metadata token URI base URI","base URI can be set","base URI can be set",""
"passed","Wed Dec 15 03:55:08 GMT 2021","Wed Dec 15 03:55:19 GMT 2021","10712","","Contract: TransparentUpgradeableProxy initialization without parameters payable when sending some balance","","Contract: TransparentUpgradeableProxy initialization without parameters payable when sending some balance","initializes the proxy","initializes the proxy",""
"passed","Wed Dec 15 04:50:32 GMT 2021","Wed Dec 15 04:50:49 GMT 2021","17160","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a valid receiver contract when the sender is not authorized for the token id","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a valid receiver contract when the sender is not authorized for the token id","reverts","reverts",""
"passed","Wed Dec 15 04:05:51 GMT 2021","Wed Dec 15 04:06:02 GMT 2021","11396","","Contract: Pausable when unpaused when paused","","Contract: Pausable when unpaused when paused","cannot perform normal process in pause","cannot perform normal process in pause",""
"passed","Wed Dec 15 03:28:37 GMT 2021","Wed Dec 15 03:29:06 GMT 2021","29244","","Contract: Governor Contract interface Governor execute(address[],uint256[],bytes[],bytes32)","","Contract: Governor Contract interface Governor execute(address[],uint256[],bytes[],bytes32)","has to be implemented","has to be implemented",""
"passed","Wed Dec 15 05:27:09 GMT 2021","Wed Dec 15 05:27:14 GMT 2021","4488","","Contract: EnumerableSet EnumerableBytes32Set at","","Contract: EnumerableSet EnumerableBytes32Set at","reverts when retrieving non-existent elements","reverts when retrieving non-existent elements",""
"passed","Wed Dec 15 04:37:33 GMT 2021","Wed Dec 15 04:37:49 GMT 2021","15606","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom with data to a user account when sent to the owner","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom with data to a user account when sent to the owner","clears the approval for the token ID","clears the approval for the token ID",""
"passed","Wed Dec 15 04:28:03 GMT 2021","Wed Dec 15 04:28:24 GMT 2021","20848","","Contract: ERC20 erc20 behaviour approve when the spender is not the zero address when the sender has enough balance when the spender had an approved amount","","Contract: ERC20 erc20 behaviour approve when the spender is not the zero address when the sender has enough balance when the spender had an approved amount","approves the requested amount and replaces the previous one","approves the requested amount and replaces the previous one",""
