"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 03:47:05 GMT 2021","Thu Dec 23 03:47:08 GMT 2021","3632","","Contract: ERC1155PresetMinterPauser Contract interface AccessControl revokeRole(bytes32,address)","","Contract: ERC1155PresetMinterPauser Contract interface AccessControl revokeRole(bytes32,address)","has to be implemented","has to be implemented",""
"passed","Thu Dec 23 03:25:57 GMT 2021","Thu Dec 23 03:26:08 GMT 2021","10857","","Contract: TransparentUpgradeableProxy upgradeToAndCall with migrations when the sender is the admin when upgrading to V1","","Contract: TransparentUpgradeableProxy upgradeToAndCall with migrations when the sender is the admin when upgrading to V1","upgrades to the requested version and emits an event","upgrades to the requested version and emits an event",""
"passed","Thu Dec 23 03:42:48 GMT 2021","Thu Dec 23 03:42:58 GMT 2021","9843","","Contract: ERC20Pausable pausable token mint","","Contract: ERC20Pausable pausable token mint","allows to mint when paused and then unpaused","allows to mint when paused and then unpaused",""
"passed","Thu Dec 23 03:09:17 GMT 2021","Thu Dec 23 03:09:17 GMT 2021","1","Ethers.js","","","","","testSigner",""
"failed","Thu Dec 23 04:44:59 GMT 2021","Thu Dec 23 04:45:03 GMT 2021","3947","","Contract: EnumerableSet EnumerableUintSet at","","Contract: EnumerableSet EnumerableUintSet at","reverts when retrieving non-existent elements","reverts when retrieving non-existent elements",""
"passed","Thu Dec 23 04:28:26 GMT 2021","Thu Dec 23 04:28:38 GMT 2021","12204","","Contract: ERC721 with minted tokens safe mint via safeMint","","Contract: ERC721 with minted tokens safe mint via safeMint","calls onERC721Received — with data","calls onERC721Received — with data",""
"passed","Thu Dec 23 04:31:24 GMT 2021","Thu Dec 23 04:31:34 GMT 2021","9961","","Contract: ERC721Enumerable with minted tokens approve when approving a non-zero address when there was a prior approval to the same address","","Contract: ERC721Enumerable with minted tokens approve when approving a non-zero address when there was a prior approval to the same address","emits an approval event","emits an approval event",""
"passed","Thu Dec 23 03:42:58 GMT 2021","Thu Dec 23 03:43:04 GMT 2021","6612","","Contract: ERC20Pausable pausable token mint","","Contract: ERC20Pausable pausable token mint","reverts when trying to mint when paused","reverts when trying to mint when paused",""
"passed","Thu Dec 23 04:41:02 GMT 2021","Thu Dec 23 04:41:08 GMT 2021","6605","","Contract: MulticallToken","","Contract: MulticallToken","reverts previous calls","reverts previous calls",""
"passed","Thu Dec 23 03:29:29 GMT 2021","Thu Dec 23 03:29:46 GMT 2021","16428","","Contract: TransparentUpgradeableProxy regression","","Contract: TransparentUpgradeableProxy regression","should add fallback function","should add fallback function",""
"passed","Thu Dec 23 04:35:28 GMT 2021","Thu Dec 23 04:35:32 GMT 2021","3283","","Contract: ERC721 Contract interface ERC721Metadata tokenURI(uint256)","","Contract: ERC721 Contract interface ERC721Metadata tokenURI(uint256)","has to be implemented","has to be implemented",""
"passed","Thu Dec 23 03:47:21 GMT 2021","Thu Dec 23 03:47:25 GMT 2021","3930","","Contract: ERC1155PresetMinterPauser Contract interface AccessControlEnumerable getRoleMember(bytes32,uint256)","","Contract: ERC1155PresetMinterPauser Contract interface AccessControlEnumerable getRoleMember(bytes32,uint256)","has to be implemented","has to be implemented",""
"failed","Thu Dec 23 03:22:25 GMT 2021","Thu Dec 23 03:22:29 GMT 2021","3376","","Contract: ERC1967Proxy without initialization when not sending balance","","Contract: ERC1967Proxy without initialization when not sending balance","has expected balance","has expected balance",""
"passed","Thu Dec 23 04:29:14 GMT 2021","Thu Dec 23 04:29:25 GMT 2021","11569","","Contract: ERC721 with minted tokens safe mint via safeMint to a receiver contract that reverts without message","","Contract: ERC721 with minted tokens safe mint via safeMint to a receiver contract that reverts without message","reverts","reverts",""
