"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 13 10:03:07 GMT 2021","Mon Dec 13 10:03:07 GMT 2021","0","","Contract: ERC20Votes transfers","","Contract: ERC20Votes transfers","no delegation","no delegation",""
"skipped","Mon Dec 13 09:11:00 GMT 2021","Mon Dec 13 09:11:00 GMT 2021","0","","Contract: TimelockController","","Contract: TimelockController","initial state","initial state",""
"broken","Mon Dec 13 09:11:00 GMT 2021","Mon Dec 13 09:19:21 GMT 2021","501336","","Contract: GovernorVotesQuorumFraction quroum not reached","","Contract: GovernorVotesQuorumFraction quroum not reached","run","run",""
"passed","Mon Dec 13 10:24:41 GMT 2021","Mon Dec 13 10:25:41 GMT 2021","59512","","Contract: EnumerableSet EnumerableBytes32Set","","Contract: EnumerableSet EnumerableBytes32Set","starts empty","starts empty",""
"broken","Mon Dec 13 09:23:18 GMT 2021","Mon Dec 13 09:27:33 GMT 2021","255453","","Contract: GovernorVotesQuorumFraction update quorum over the maximum","","Contract: GovernorVotesQuorumFraction update quorum over the maximum","run","run",""
"passed","Mon Dec 13 08:53:06 GMT 2021","Mon Dec 13 08:53:06 GMT 2021","186","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"passed","Mon Dec 13 10:03:27 GMT 2021","Mon Dec 13 10:03:33 GMT 2021","6505","","Contract: ERC1155 like an ERC1155 balanceOf","","Contract: ERC1155 like an ERC1155 balanceOf","reverts when queried about the zero address","reverts when queried about the zero address",""
"skipped","Mon Dec 13 09:11:00 GMT 2021","Mon Dec 13 09:11:00 GMT 2021","0","","Contract: TimelockController methods batch execute with scheduled operation on time","","Contract: TimelockController methods batch execute with scheduled operation on time","executor can reveal","executor can reveal",""
"skipped","Mon Dec 13 09:11:00 GMT 2021","Mon Dec 13 09:11:00 GMT 2021","0","","Contract: GovernorTimelockControl","","Contract: GovernorTimelockControl","doesn't accept ether transfers","doesn't accept ether transfers",""
"failed","Mon Dec 13 09:45:23 GMT 2021","Mon Dec 13 09:45:30 GMT 2021","7210","","Contract: BeaconProxy bad beacon is not accepted","","Contract: BeaconProxy bad beacon is not accepted","non-contract implementation","non-contract implementation",""
