"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 18 02:02:25 GMT 2021","Sat Dec 18 02:02:31 GMT 2021","6382","","Contract: ERC721 Contract interface ERC165 ERC165's supportsInterface(bytes4)","","Contract: ERC721 Contract interface ERC165 ERC165's supportsInterface(bytes4)","claims support [skip-on-coverage]","claims support [skip-on-coverage]",""
"passed","Sat Dec 18 01:06:40 GMT 2021","Sat Dec 18 01:07:11 GMT 2021","30969","","Contract: Governor Contract interface Governor hashProposal(address[],uint256[],bytes[],bytes32)","","Contract: Governor Contract interface Governor hashProposal(address[],uint256[],bytes[],bytes32)","has to be implemented","has to be implemented",""
"passed","Sat Dec 18 03:27:34 GMT 2021","Sat Dec 18 03:27:41 GMT 2021","6524","","Contract: ERC721Enumerable metadata","","Contract: ERC721Enumerable metadata","has a symbol","has a symbol",""
"passed","Sat Dec 18 03:08:16 GMT 2021","Sat Dec 18 03:08:43 GMT 2021","26658","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom without data to a valid receiver contract when sent to the owner","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom without data to a valid receiver contract when sent to the owner","keeps same tokens by index","keeps same tokens by index",""
"passed","Sat Dec 18 02:31:34 GMT 2021","Sat Dec 18 02:31:58 GMT 2021","23988","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a valid receiver contract when called by the owner","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a valid receiver contract when called by the owner","adjusts owners tokens by index","adjusts owners tokens by index",""
"passed","Sat Dec 18 03:14:16 GMT 2021","Sat Dec 18 03:14:40 GMT 2021","23343","","Contract: ERC721 with minted tokens safe mint via safeMint","","Contract: ERC721 with minted tokens safe mint via safeMint","calls onERC721Received — without data","calls onERC721Received — without data",""
"passed","Sat Dec 18 03:29:01 GMT 2021","Sat Dec 18 03:29:06 GMT 2021","5000","","Contract: ERC721Enumerable Contract interface ERC721Enumerable totalSupply()","","Contract: ERC721Enumerable Contract interface ERC721Enumerable totalSupply()","has to be implemented","has to be implemented",""
"broken","Sat Dec 18 01:19:23 GMT 2021","Sat Dec 18 01:20:05 GMT 2021","41430","","Contract: Governor scenario Invalid vote type","","Contract: Governor scenario Invalid vote type","run","run",""
"passed","Sat Dec 18 03:27:48 GMT 2021","Sat Dec 18 03:27:54 GMT 2021","5208","","Contract: ERC721 Contract interface ERC721Metadata tokenURI(uint256)","","Contract: ERC721 Contract interface ERC721Metadata tokenURI(uint256)","has to be implemented","has to be implemented",""
"broken","Sat Dec 18 00:53:53 GMT 2021","Sat Dec 18 00:53:53 GMT 2021","224","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"passed","Sat Dec 18 01:59:50 GMT 2021","Sat Dec 18 01:59:52 GMT 2021","1475","","Contract: ERC20PresetFixedSupply","","Contract: ERC20PresetFixedSupply","total supply is equal to initial supply","total supply is equal to initial supply",""
"failed","Sat Dec 18 03:40:44 GMT 2021","Sat Dec 18 03:40:54 GMT 2021","9482","","Contract: Escrow as an escrow deposits","","Contract: Escrow as an escrow deposits","can accept a single deposit","can accept a single deposit",""
"passed","Sat Dec 18 02:03:13 GMT 2021","Sat Dec 18 02:03:39 GMT 2021","25931","","Contract: ERC1155Holder","","Contract: ERC1155Holder","receives ERC1155 tokens from a multiple IDs","receives ERC1155 tokens from a multiple IDs",""
"passed","Sat Dec 18 03:42:22 GMT 2021","Sat Dec 18 03:42:30 GMT 2021","7687","","Contract: Escrow as an escrow withdrawals","","Contract: Escrow as an escrow withdrawals","can do an empty withdrawal","can do an empty withdrawal",""
"passed","Sat Dec 18 03:36:49 GMT 2021","Sat Dec 18 03:37:10 GMT 2021","20427","","Contract: EnumerableSet EnumerableBytes32Set add","","Contract: EnumerableSet EnumerableBytes32Set add","adds several values","adds several values",""
"passed","Sat Dec 18 03:27:43 GMT 2021","Sat Dec 18 03:27:48 GMT 2021","4830","","Contract: ERC721 Contract interface ERC721Metadata symbol()","","Contract: ERC721 Contract interface ERC721Metadata symbol()","has to be implemented","has to be implemented",""
"passed","Sat Dec 18 02:03:39 GMT 2021","Sat Dec 18 02:03:45 GMT 2021","5846","","Contract: ERC721PresetMinterPauserAutoId Contract interface ERC721 safeTransferFrom(address,address,uint256,bytes)","","Contract: ERC721PresetMinterPauserAutoId Contract interface ERC721 safeTransferFrom(address,address,uint256,bytes)","has to be implemented","has to be implemented",""
"passed","Sat Dec 18 03:06:33 GMT 2021","Sat Dec 18 03:06:58 GMT 2021","25204","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom without data to a valid receiver contract when sent to the owner","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom without data to a valid receiver contract when sent to the owner","keeps ownership of the token","keeps ownership of the token",""
"passed","Sat Dec 18 02:15:47 GMT 2021","Sat Dec 18 02:16:09 GMT 2021","22101","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom with data to a user account when called by the owner","","Contract: ERC721Enumerable with minted tokens transfers via safeTransferFrom with data to a user account when called by the owner","clears the approval for the token ID","clears the approval for the token ID",""
"passed","Sat Dec 18 03:35:07 GMT 2021","Sat Dec 18 03:35:14 GMT 2021","7075","","Contract: ECDSA recover with invalid signature","","Contract: ECDSA recover with invalid signature","with short signature","with short signature",""
"passed","Sat Dec 18 01:35:24 GMT 2021","Sat Dec 18 01:35:33 GMT 2021","8818","","Contract: MinimalForwarder with message execute invalid signature","","Contract: MinimalForwarder with message execute invalid signature","tampered nonce","tampered nonce",""
"passed","Sat Dec 18 02:06:33 GMT 2021","Sat Dec 18 02:06:42 GMT 2021","9056","","Contract: ERC20 increase allowance when the spender is not the zero address when the sender has enough balance when there was no approved amount before","","Contract: ERC20 increase allowance when the spender is not the zero address when the sender has enough balance when there was no approved amount before","approves the requested amount","approves the requested amount",""
"passed","Sat Dec 18 03:18:29 GMT 2021","Sat Dec 18 03:18:53 GMT 2021","23635","","Contract: ERC721Enumerable with minted tokens approve when approving a non-zero address when there was a prior approval to a different address","","Contract: ERC721Enumerable with minted tokens approve when approving a non-zero address when there was a prior approval to a different address","sets the approval for the target address","sets the approval for the target address",""
"passed","Sat Dec 18 00:52:04 GMT 2021","Sat Dec 18 00:52:04 GMT 2021","215","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"passed","Sat Dec 18 01:38:42 GMT 2021","Sat Dec 18 01:38:52 GMT 2021","10582","","Contract: TransparentUpgradeableProxy initialization with parameters non payable when not sending balance","","Contract: TransparentUpgradeableProxy initialization with parameters non payable when not sending balance","initializes the proxy","initializes the proxy",""
"passed","Sat Dec 18 02:48:41 GMT 2021","Sat Dec 18 02:49:02 GMT 2021","21136","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a user account when called by the operator","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a user account when called by the operator","emits a Transfer event","emits a Transfer event",""
"passed","Sat Dec 18 03:44:52 GMT 2021","Sat Dec 18 03:45:04 GMT 2021","11933","","Contract: Address functionStaticCall","","Contract: Address functionStaticCall","bubbles up revert reason","bubbles up revert reason",""
"passed","Sat Dec 18 03:41:35 GMT 2021","Sat Dec 18 03:41:49 GMT 2021","14751","","Contract: Counters decrement starting from 1","","Contract: Counters decrement starting from 1","decrements the current value by one","decrements the current value by one",""
"passed","Sat Dec 18 03:26:17 GMT 2021","Sat Dec 18 03:26:34 GMT 2021","16650","","Contract: ERC721 _burn with minted tokens with burnt token","","Contract: ERC721 _burn with minted tokens with burnt token","emits a Transfer event","emits a Transfer event",""
"failed","Sat Dec 18 03:43:10 GMT 2021","Sat Dec 18 03:43:23 GMT 2021","12810","","Contract: Address functionCallWithValue with non-zero value","","Contract: Address functionCallWithValue with non-zero value","reverts if insufficient sender balance","reverts if insufficient sender balance",""
"passed","Sat Dec 18 03:36:28 GMT 2021","Sat Dec 18 03:36:34 GMT 2021","6175","","Contract: SafeMath with flag div","","Contract: SafeMath with flag div","returns complete number result on non-even division","returns complete number result on non-even division",""
"broken","Sat Dec 18 01:30:46 GMT 2021","Sat Dec 18 01:31:31 GMT 2021","44487","","Contract: Governor Settings update setVotingPeriod","","Contract: Governor Settings update setVotingPeriod","run","run",""
