"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","39","0","0","0","0"
"Test defects","0","80","0","0","0"
"neon-cli error","0","11","0","0","0"
"Not supported","0","7","0","0","0"
