"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 08 01:46:14 GMT 2021","Wed Dec 08 01:46:14 GMT 2021","4","","migrate-imports.js","","migrate-imports.js","every new path exists","every new path exists",""
"passed","Wed Dec 08 03:14:07 GMT 2021","Wed Dec 08 03:14:21 GMT 2021","13979","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a user account when called by the owner","","Contract: ERC721 with minted tokens transfers via safeTransferFrom with data to a user account when called by the owner","adjusts owners balances","adjusts owners balances",""
"passed","Wed Dec 08 02:28:10 GMT 2021","Wed Dec 08 02:28:15 GMT 2021","4556","","Contract: ERC1155PresetMinterPauser Contract interface ERC1155 ERC165's supportsInterface(bytes4)","","Contract: ERC1155PresetMinterPauser Contract interface ERC1155 ERC165's supportsInterface(bytes4)","claims support [skip-on-coverage]","claims support [skip-on-coverage]",""
"passed","Wed Dec 08 05:10:35 GMT 2021","Wed Dec 08 05:10:44 GMT 2021","8706","","Contract: Context msgData","","Contract: Context msgData","returns the transaction sender when from another contract","returns the transaction sender when from another contract",""
"passed","Wed Dec 08 01:45:13 GMT 2021","Wed Dec 08 01:45:18 GMT 2021","5360","","Contract: MinimalForwarder with message verify invalid signature","","Contract: MinimalForwarder with message verify invalid signature","tampered nonce","tampered nonce",""
"passed","Wed Dec 08 01:09:10 GMT 2021","Wed Dec 08 01:09:10 GMT 2021","5","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"passed","Wed Dec 08 01:56:55 GMT 2021","Wed Dec 08 01:56:59 GMT 2021","4101","","Contract: TransparentUpgradeableProxy implementation","","Contract: TransparentUpgradeableProxy implementation","delegates to the implementation","delegates to the implementation",""
"passed","Wed Dec 08 04:00:34 GMT 2021","Wed Dec 08 04:00:38 GMT 2021","3758","","Contract: ERC721Enumerable Contract interface ERC721 balanceOf(address)","","Contract: ERC721Enumerable Contract interface ERC721 balanceOf(address)","has to be implemented","has to be implemented",""
"passed","Wed Dec 08 05:24:08 GMT 2021","Wed Dec 08 05:24:12 GMT 2021","4172","","Contract: SafeCast toUint256","","Contract: SafeCast toUint256","casts INT256_MAX (57896044618658097711785492504343953926634992332820282019728792003956564819967)","casts INT256_MAX (57896044618658097711785492504343953926634992332820282019728792003956564819967)",""
"passed","Wed Dec 08 04:49:31 GMT 2021","Wed Dec 08 04:49:41 GMT 2021","10455","","Contract: ERC721Enumerable with minted tokens approve when approving a non-zero address when there was a prior approval to a different address","","Contract: ERC721Enumerable with minted tokens approve when approving a non-zero address when there was a prior approval to a different address","emits an approval event","emits an approval event",""
"passed","Wed Dec 08 04:59:47 GMT 2021","Wed Dec 08 04:59:55 GMT 2021","7923","","Contract: ERC721Pausable when token is paused isApprovedForAll","","Contract: ERC721Pausable when token is paused isApprovedForAll","returns the approval of the operator","returns the approval of the operator",""
"passed","Wed Dec 08 05:44:13 GMT 2021","Wed Dec 08 05:44:23 GMT 2021","9519","","Contract: TimersTimestamp","","Contract: TimersTimestamp","expired","expired",""
"passed","Wed Dec 08 02:21:54 GMT 2021","Wed Dec 08 02:22:00 GMT 2021","5212","","Contract: ERC1155 internal functions _burn","","Contract: ERC1155 internal functions _burn","reverts when burning a non-existent token id","reverts when burning a non-existent token id",""
"passed","Wed Dec 08 02:04:20 GMT 2021","Wed Dec 08 02:04:30 GMT 2021","10162","","Contract: UUPSUpgradeable","","Contract: UUPSUpgradeable","upgrade to upgradeable implementation with call","upgrade to upgradeable implementation with call",""
"passed","Wed Dec 08 05:42:14 GMT 2021","Wed Dec 08 05:42:24 GMT 2021","10328","","Contract: EnumerableSet EnumerableUintSet add","","Contract: EnumerableSet EnumerableUintSet add","returns false when adding values already in the set","returns false when adding values already in the set",""
"passed","Wed Dec 08 01:57:15 GMT 2021","Wed Dec 08 01:57:20 GMT 2021","4605","","Contract: TransparentUpgradeableProxy upgradeTo when the sender is not the admin","","Contract: TransparentUpgradeableProxy upgradeTo when the sender is not the admin","reverts","reverts",""
"passed","Wed Dec 08 02:53:14 GMT 2021","Wed Dec 08 02:53:30 GMT 2021","16620","","Contract: ERC20 erc20 behaviour transfer from when the token owner is not the zero address when the recipient is not the zero address when the spender has enough approved balance when the token owner has enough balance","","Contract: ERC20 erc20 behaviour transfer from when the token owner is not the zero address when the recipient is not the zero address when the spender has enough approved balance when the token owner has enough balance","emits a transfer event","emits a transfer event",""
"passed","Wed Dec 08 05:17:14 GMT 2021","Wed Dec 08 05:17:21 GMT 2021","7098","","Contract: ERC165Checker ERC165 not supported","","Contract: ERC165Checker ERC165 not supported","does not support mock interface via supportsAllInterfaces","does not support mock interface via supportsAllInterfaces",""
"passed","Wed Dec 08 03:02:19 GMT 2021","Wed Dec 08 03:02:29 GMT 2021","9726","","Contract: SafeERC20 with token that returns no boolean values approvals with non-zero allowance","","Contract: SafeERC20 with token that returns no boolean values approvals with non-zero allowance","doesn't revert when approving a zero allowance","doesn't revert when approving a zero allowance",""
"broken","Wed Dec 08 01:08:04 GMT 2021","Wed Dec 08 01:08:04 GMT 2021","6","ethjs","","","","","test01",""
"passed","Wed Dec 08 05:22:47 GMT 2021","Wed Dec 08 05:22:51 GMT 2021","4160","","Contract: SafeCast toUint64","","Contract: SafeCast toUint64","reverts when downcasting 2^64 (18446744073709551616)","reverts when downcasting 2^64 (18446744073709551616)",""
"passed","Wed Dec 08 01:12:56 GMT 2021","Wed Dec 08 01:12:59 GMT 2021","3288","","Contract: AccessControl Contract interface AccessControl hasRole(bytes32,address)","","Contract: AccessControl Contract interface AccessControl hasRole(bytes32,address)","has to be implemented","has to be implemented",""
"passed","Wed Dec 08 02:45:11 GMT 2021","Wed Dec 08 02:45:15 GMT 2021","4552","","Contract: ERC20Snapshot totalSupplyAt","","Contract: ERC20Snapshot totalSupplyAt","reverts with a not-yet-created snapshot id","reverts with a not-yet-created snapshot id",""
"passed","Wed Dec 08 02:23:01 GMT 2021","Wed Dec 08 02:23:06 GMT 2021","5265","","Contract: ERC1155 ERC1155MetadataURI","","Contract: ERC1155 ERC1155MetadataURI","sets the initial URI for all token types","sets the initial URI for all token types",""
"passed","Wed Dec 08 01:15:56 GMT 2021","Wed Dec 08 01:15:59 GMT 2021","3341","","Contract: AccessControl Contract interface AccessControlEnumerable getRoleMemberCount(bytes32)","","Contract: AccessControl Contract interface AccessControlEnumerable getRoleMemberCount(bytes32)","has to be implemented","has to be implemented",""
"passed","Wed Dec 08 05:00:01 GMT 2021","Wed Dec 08 05:00:08 GMT 2021","6384","","Contract: ERC721URIStorage token URI","","Contract: ERC721URIStorage token URI","reverts when queried for non existent token id","reverts when queried for non existent token id",""
"passed","Wed Dec 08 03:02:50 GMT 2021","Wed Dec 08 03:03:00 GMT 2021","9850","","Contract: SafeERC20 with token that returns no boolean values approvals with non-zero allowance","","Contract: SafeERC20 with token that returns no boolean values approvals with non-zero allowance","reverts when decreasing the allowance to a negative value","reverts when decreasing the allowance to a negative value",""
"passed","Wed Dec 08 02:25:55 GMT 2021","Wed Dec 08 02:26:07 GMT 2021","12264","","Contract: ERC1155Pausable when token is paused setApprovalForAll","","Contract: ERC1155Pausable when token is paused setApprovalForAll","approves an operator","approves an operator",""
"passed","Wed Dec 08 05:09:42 GMT 2021","Wed Dec 08 05:09:46 GMT 2021","4203","","Contract: Arrays findUpperBound Odd number of elements","","Contract: Arrays findUpperBound Odd number of elements","returns correct index for the basic case","returns correct index for the basic case",""
"passed","Wed Dec 08 02:13:39 GMT 2021","Wed Dec 08 02:13:53 GMT 2021","14237","","Contract: ERC1155 like an ERC1155 safeTransferFrom when sending to a valid receiver with data","","Contract: ERC1155 like an ERC1155 safeTransferFrom when sending to a valid receiver with data","credits transferred balance to receiver","credits transferred balance to receiver",""
"passed","Wed Dec 08 05:16:46 GMT 2021","Wed Dec 08 05:16:53 GMT 2021","7027","","Contract: ERC165Checker ERC165 missing return data","","Contract: ERC165Checker ERC165 missing return data","does not support mock interface via supportsAllInterfaces","does not support mock interface via supportsAllInterfaces",""
"passed","Wed Dec 08 02:42:09 GMT 2021","Wed Dec 08 02:42:13 GMT 2021","4279","","Contract: ERC20FlashMint maxFlashLoan","","Contract: ERC20FlashMint maxFlashLoan","token mismatch","token mismatch",""
"passed","Wed Dec 08 03:40:55 GMT 2021","Wed Dec 08 03:41:12 GMT 2021","16402","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a valid receiver contract","","Contract: ERC721 with minted tokens transfers via safeTransferFrom without data to a valid receiver contract","calls onERC721Received","calls onERC721Received",""
"passed","Wed Dec 08 05:06:30 GMT 2021","Wed Dec 08 05:06:42 GMT 2021","12435","","Contract: Address sendValue when sender contract has funds with contract recipient","","Contract: Address sendValue when sender contract has funds with contract recipient","reverts on recipient revert","reverts on recipient revert",""
"passed","Wed Dec 08 02:10:16 GMT 2021","Wed Dec 08 02:10:23 GMT 2021","6957","","Contract: ERC1155 like an ERC1155 setApprovalForAll","","Contract: ERC1155 like an ERC1155 setApprovalForAll","reverts if attempting to approve self as an operator","reverts if attempting to approve self as an operator",""
"passed","Wed Dec 08 02:49:45 GMT 2021","Wed Dec 08 02:50:00 GMT 2021","14972","","Contract: ERC20 withdraw","","Contract: ERC20 withdraw","to other account","to other account",""
"passed","Wed Dec 08 03:05:35 GMT 2021","Wed Dec 08 03:05:44 GMT 2021","8848","","Contract: ERC721 with minted tokens ownerOf when the given token ID was not tracked by this token","","Contract: ERC721 with minted tokens ownerOf when the given token ID was not tracked by this token","reverts","reverts",""
"passed","Wed Dec 08 04:47:35 GMT 2021","Wed Dec 08 04:47:47 GMT 2021","12253","","Contract: ERC721Enumerable with minted tokens safe mint via safeMint to a receiver contract that panics","","Contract: ERC721Enumerable with minted tokens safe mint via safeMint to a receiver contract that panics","reverts","reverts",""
"passed","Wed Dec 08 01:49:12 GMT 2021","Wed Dec 08 01:49:19 GMT 2021","6683","","Contract: Clones clone initialization with parameters payable when not sending balance","","Contract: Clones clone initialization with parameters payable when not sending balance","initializes the proxy","initializes the proxy",""
