"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","44","0","0","0","0"
"Connection problem","2","1","0","0","0"
"Test defects","0","69","0","0","0"
"neon-cli error","0","8","0","0","0"
"Not supported","0","6","0","0","0"
