"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","52","0","0","0","0"
"Connection problem","3","0","0","0","0"
"Test defects","0","66","0","0","0"
"Not supported","0","6","0","0","0"
